"cik","company","ticker","market_cap_usd_billion","gics_sector","gics_sub_industry","headquarters","founded"
"1711269","Evergy","EVRG","17.157860352","Utilities","Electric Utilities","Kansas City, Missouri","1909"
"1069202","Lennox International","LII","17.115710464","Industrials","Building Products","Richardson, Texas","1895"
"1687229","Invitation Homes","INVH","17.103275008","Real Estate","Single-Family Residential REITs","Dallas, Texas","2012"
"352541","Alliant Energy","LNT","17.101782016","Utilities","Electric Utilities","Madison, Wisconsin","1917"
"1751788","Dow Inc.","DOW","16.95890944","Materials","Commodity Chemicals","Midland, Michigan","2019 (1897)"
"1521332","Aptiv","APTV","16.872030208","Consumer Discretionary","Automotive Parts & Equipment","Dublin, Ireland","1994"
"2058873","Qnity Electronics","Q","16.704690176","Information Technology","Semiconductor Materials & Equipment","Wilmington, Delaware","2025"
"859737","Hologic","HOLX","16.677769216","Health Care","Health Care Equipment","Marlborough, Massachusetts","1985"
"1666700","DuPont","DD","16.557904896","Materials","Specialty Chemicals","Wilmington, Delaware","2017 (1802)"
"912595","Mid-America Apartment Communities","MAA","16.235446272","Real Estate","Multi-Family Residential REITs","Memphis, Tennessee","1977"
"52988","Jacobs Solutions","J","16.223488","Industrials","Construction & Engineering","Dallas, Texas","1947"
"849399","Gen Digital","GEN","16.188797952","Information Technology","Systems Software","Tempe, Arizona","1982"
"1564708","News Corp(Class B)","NWS","16.170929152","Communication Services","Publishing","New York City, New York","2013 (News Corporation1980)"
"1973266","TKO Group Holdings","TKO","15.987124224","Communication Services","Movies & Entertainment","New York City, New York","2023"
"764478","Best Buy","BBY","15.82775296","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1966"
"106535","Weyerhaeuser","WY","15.793874944","Real Estate","Timber REITs","Seattle, Washington","1900"
"922621","Erie Indemnity","ERIE","15.475186688","Financials","Insurance Brokers","Erie, Pennsylvania","1925"
"1489393","LyondellBasell","LYB","15.379089408","Materials","Specialty Chemicals","Rotterdam, Netherlands","2007"
"352915","Universal Health Services","UHS","15.189282816","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","1979"
"711404","Cooper Companies (The)","COO","15.13102848","Health Care","Health Care Supplies","San Ramon, California","1958"
"915913","Albemarle Corporation","ALB","15.081761792","Materials","Specialty Chemicals","Charlotte, North Carolina","1994"
"1564708","News Corp(Class A)","NWSA","14.873404416","Communication Services","Publishing","New York City, New York","2013 (News Corporation1980)"
"1964738","Solventum","SOLV","14.845375488","Health Care","Health Care Technology","Saint Paul, Minnesota","2023"
"217346","Textron","TXT","14.689462272","Industrials","Aerospace & Defense","Providence, Rhode Island","1923"
"1286681","Domino's","DPZ","14.416069632","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","1960"
"14693","Brown–Forman","BF.B","14.25","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1870"
"1579241","Allegion","ALLE","14.123005952","Industrials","Building Products","Dublin, Ireland","1908"
"1048695","F5, Inc.","FFIV","13.855535104","Information Technology","Communications Equipment","Seattle, Washington","1996"
"1174922","Wynn Resorts","WYNN","13.838235648","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2002"
"879101","Kimco Realty","KIM","13.747060736","Real Estate","Retail REITs","Jericho, New York","1958"
"74208","UDR, Inc.","UDR","13.662788608","Real Estate","Multi-Family Residential REITs","Highlands Ranch, Colorado","1972"
"910521","Deckers Brands","DECK","13.613469696","Consumer Discretionary","Footwear","Goleta, California","1973"
"62996","Masco","MAS","13.45580032","Industrials","Building Products","Livonia, Michigan","1929"
"72331","Nordson Corporation","NDSN","13.366061056","Industrials","Industrial Machinery & Supplies & Components","Westlake, Ohio","1935"
"8818","Avery Dennison","AVY","13.311812608","Materials","Paper & Plastic Packaging Products & Materials","Mentor, Ohio","1935"
"832101","IDEX Corporation","IEX","13.182804992","Industrials","Industrial Machinery & Supplies & Components","Northbrook, Illinois","1988"
"9389","Ball Corporation","BALL","13.17472768","Materials","Metal, Glass & Plastic Containers","Broomfield, Colorado","1880"
"1095073","Everest Group","EG","13.105968128","Financials","Reinsurance","Hamilton, Bermuda","1973"
"21076","Clorox","CLX","12.916501504","Consumer Staples","Household Products","Oakland, California","1913"
"910606","Regency Centers","REG","12.885353472","Real Estate","Retail REITs","Jacksonville, Florida","1963"
"877212","Zebra Technologies","ZBRA","12.835784704","Information Technology","Electronic Equipment & Instruments","Lincolnshire, Illinois","1969"
"1324404","CF Industries","CF","12.791005184","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","1946"
"48465","Hormel Foods","HRL","12.699464704","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","1891"
"1037540","BXP, Inc.","BXP","12.692327424","Real Estate","Office REITs","Boston, Massachusetts","1970"
"779152","Jack Henry & Associates","JKHY","12.547826688","Financials","Transaction & Payment Processing Services","Monett, Missouri","1976"
"765880","Healthpeak Properties","DOC","12.536895488","Real Estate","Health Care REITs","Denver, Colorado","1985"
"1086222","Akamai Technologies","AKAM","12.491817984","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","1998"
"1316835","Builders FirstSource","BLDR","12.3960832","Industrials","Building Products","Irving, Texas","1998"
"1792044","Viatris","VTRS","12.364343296","Health Care","Pharmaceuticals","Pittsburgh, Pennsylvania","1961"
"1070750","Host Hotels & Resorts","HST","12.210985984","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","1993"
"1501585","Huntington Ingalls Industries","HII","12.05496832","Industrials","Aerospace & Defense","Newport News, Virginia","2011"
"31791","Revvity","RVTY","11.924135936","Health Care","Health Care Equipment","Waltham, Massachusetts","1937"
"38777","Franklin Resources","BEN","11.680160768","Financials","Asset Management & Custody Banks","San Mateo, California","1947"
"46080","Hasbro","HAS","11.458518016","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1923"
"906345","Camden Property Trust","CPT","11.326389248","Real Estate","Multi-Family Residential REITs","Houston, Texas","1981"
"1267238","Assurant","AIZ","11.17015552","Financials","Multi-line Insurance","Atlanta, Georgia","1892"
"1725057","Dayforce","DAY","11.060016128","Industrials","Human Resource & Employment Services","Minneapolis, Minnesota","1992"
"93556","Stanley Black & Decker","SWK","11.03400448","Industrials","Industrial Machinery & Supplies & Components","New Britain, Connecticut","1843"
"1097149","Align Technology","ALGN","10.940366848","Health Care","Health Care Supplies","Tempe, Arizona","1997"
"914208","Invesco","IVZ","10.810162176","Financials","Asset Management & Custody Banks","Atlanta, Georgia","1935"
"91419","J.M. Smucker Company (The)","SJM","10.776127488","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","1897"
"1352010","EPAM Systems","EPAM","10.748947456","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","1993"
"320335","Globe Life","GL","10.623612928","Financials","Life & Health Insurance","McKinney, Texas","1900"
"764622","Pinnacle West Capital","PNW","10.597388288","Utilities","Multi-Utilities","Phoenix, Arizona","1985"
"1013237","FactSet","FDS","10.41321984","Financials","Financial Exchanges & Data","Norwalk, Connecticut","1978"
"4127","Skyworks Solutions","SWKS","10.145907712","Information Technology","Semiconductors","Irvine, California","2002"
"874761","AES Corporation","AES","9.941209088","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1981"
"842023","Bio-Techne","TECH","9.8084096","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","1976"
"10456","Baxter International","BAX","9.684811776","Health Care","Health Care Equipment","Deerfield, Illinois","1931"
"789570","MGM Resorts","MGM","9.665717248","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","1986"
"1682852","Moderna","MRNA","9.401051136","Health Care","Biotechnology","Cambridge, Massachusetts","2010"
"1035443","Alexandria Real Estate Equities","ARE","9.30317312","Real Estate","Office REITs","Pasadena, California","1994"
"91142","A. O. Smith","AOS","9.242947584","Industrials","Building Products","Milwaukee, Wisconsin","1916"
"24545","Molson Coors Beverage Company","TAP","9.195644928","Consumer Staples","Brewers","Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
"945841","Pool Corporation","POOL","9.13283584","Consumer Discretionary","Distributors","Covington, Louisiana","1993"
"1474735","Generac","GNRC","9.114221568","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","1959"
"1590955","Paycom","PAYC","9.110755328","Industrials","Human Resource & Employment Services","Oklahoma City, Oklahoma","1998"
"1841666","APA Corporation","APA","9.105666048","Energy","Oil & Gas Exploration & Production","Houston, Texas","1954"
"16732","Campbell's Company (The)","CPB","8.906995712","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","1869"
"1000228","Henry Schein","HSIC","8.691306496","Health Care","Health Care Distributors","Melville, New York","1932"
"1100682","Charles River Laboratories","CRL","8.600895488","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","1947"
"927066","DaVita","DVA","8.521370112","Health Care","Health Care Services","Denver, Colorado","1979"
"34903","Federal Realty Investment Trust","FRT","8.47160576","Real Estate","Retail REITs","Rockville, Maryland","1962"
"1513761","Norwegian Cruise Line Holdings","NCLH","8.390395904","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami-Dade County, Florida[4]","2011 (1966)"
"23217","Conagra Brands","CAG","8.237215232","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1919"
"1679273","Lamb Weston","LW","8.228896256","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","2016 (1950)"
"891103","Match Group","MTCH","8.1089664","Communication Services","Interactive Media & Services","Dallas, Texas","1986"
"1179929","Molina Healthcare","MOH","7.911574016","Health Care","Managed Health Care","Long Beach, California","1980"
"1285785","Mosaic Company (The)","MOS","7.73840384","Materials","Fertilizers & Agricultural Chemicals","Tampa, Florida","2004 (1865 / 1909)"
"1065696","LKQ Corporation","LKQ","7.507815424","Consumer Discretionary","Distributors","Nashville, Tennessee","1998"
"2064953","Solstice Advanced Materials","SOLS","7.40463616","Materials","Specialty Chemicals","Morris Plains, New Jersey","2025"
"851968","Mohawk Industries","MHK","7.11969536","Consumer Discretionary","Home Furnishings","Calhoun, Georgia","1878"
