"cik","company","ticker","market_cap_usd_billion","gics_sector","gics_sub_industry","headquarters","founded"
"56873","Kroger","KR","44.41931776","Consumer Staples","Food Retail","Cincinnati, Ohio","1883"
"1024478","Rockwell Automation","ROK","43.984338944","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin","1903"
"820027","Ameriprise Financial","AMP","43.062308864","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","1894"
"814547","Fair Isaac","FICO","42.695540736","Information Technology","Application Software","Bozeman, Montana","1956"
"5272","American International Group","AIG","42.63059456","Financials","Multi-line Insurance","New York City, New York","1919"
"27904","Delta Air Lines","DAL","42.533994496","Industrials","Passenger Airlines","Atlanta, Georgia","1929"
"1069183","Axon Enterprise","AXON","42.434101248","Industrials","Aerospace & Defense","Scottsdale, Arizona","1993"
"1090872","Agilent Technologies","A","42.187698176","Health Care","Life Sciences Tools & Services","Santa Clara, California","1999"
"65984","Entergy","ETR","41.520115712","Utilities","Electric Utilities","New Orleans, Louisiana","1913"
"797468","Occidental Petroleum","OXY","41.35913472","Energy","Oil & Gas Exploration & Production","Houston, Texas","1920"
"1408198","MSCI Inc.","MSCI","41.123115008","Financials","Financial Exchanges & Data","New York City, New York","1969"
"27419","Target Corporation","TGT","41.109491712","Consumer Staples","Consumer Staples Merchandise Retail","Minneapolis, Minnesota","1902"
"1041061","Yum! Brands","YUM","40.987111424","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997"
"788784","Public Service Enterprise Group","PEG","40.271745024","Utilities","Electric Utilities","Newark, New Jersey","1903"
"723531","Paychex","PAYX","39.86907136","Industrials","Human Resource & Employment Services","Penfield, New York","1971"
"1051470","Crown Castle","CCI","38.444085248","Real Estate","Telecom Tower REITs","Houston, Texas","1994"
"1478242","IQVIA","IQV","38.424788992","Health Care","Life Sciences Tools & Services","Durham, North Carolina","1982"
"1396009","Vulcan Materials Company","VMC","38.29682176","Materials","Construction Materials","Birmingham, Alabama","1909"
"1418135","Keurig Dr Pepper","KDP","38.216941568","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Burlington, Massachusetts","1981"
"874766","Hartford (The)","HIG","37.986291712","Financials","Property & Casualty Insurance","Hartford, Connecticut","1810"
"1137774","Prudential Financial","PRU","37.957046272","Financials","Life & Health Insurance","Newark, New Jersey","1875"
"1121788","Garmin","GRMN","37.955956736","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","1989"
"1058290","Cognizant","CTSH","37.94348032","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","1994"
"1065088","eBay Inc.","EBAY","37.889871872","Consumer Discretionary","Broadline Retail","San Jose, California","1995"
"900075","Copart","CPRT","37.713969152","Industrials","Diversified Support Services","Dallas, Texas","1982"
"740260","Ventas","VTR","37.616205824","Real Estate","Health Care REITs","Chicago, Illinois","1998"
"47111","Hershey Company (The)","HSY","37.063036928","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1894"
"1389170","Targa Resources","TRGP","36.96996352","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2005"
"73309","Nucor","NUE","36.866838528","Materials","Steel","Charlotte, North Carolina","1940"
"916076","Martin Marietta Materials","MLM","36.666138624","Materials","Construction Materials","Raleigh, North Carolina","1993"
"1512673","Block, Inc.","XYZ","36.642095104","Financials","Transaction & Payment Processing Services","none","2009"
"1932393","GE HealthCare","GEHC","36.625408","Health Care","Health Care Equipment","Chicago, Illinois","1994"
"943819","ResMed","RMD","36.615643136","Health Care","Health Care Equipment","San Diego, California","1989"
"33213","EQT Corporation","EQT","36.570324992","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","1888"
"1001250","Estée Lauder Companies (The)","EL","35.90629376","Consumer Staples","Personal Care Products","New York City, New York","1946"
"96021","Sysco","SYY","35.646418944","Consumer Staples","Food Distributors","Houston, Texas","1969"
"943452","Wabtec","WAB","35.62405888","Industrials","Construction Machinery & Heavy Transportation Equipment","Pittsburgh, Pennsylvania","1999 (1869)"
"55785","Kimberly-Clark","KMB","35.492257792","Consumer Staples","Household Products","Irving, Texas","1872"
"783325","WEC Energy Group","WEC","35.161055232","Utilities","Electric Utilities","Milwaukee, Wisconsin","1896"
"815097","Carnival","CCL","35.035992064","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1972"
"1047862","Consolidated Edison","ED","34.963832832","Utilities","Multi-Utilities","New York City, New York","1823"
"1136893","Fidelity National Information Services","FIS","34.894893056","Financials","Transaction & Payment Processing Services","Jacksonville, Florida","1968"
"1601046","Keysight Technologies","KEYS","34.611847168","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","2014 (1939)"
"947484","Arch Capital Group","ACGL","34.593787904","Financials","Property & Casualty Insurance","Hamilton, Bermuda","1995"
"1781335","Otis Worldwide","OTIS","34.2395392","Industrials","Industrial Machinery & Supplies & Components","Farmington, Connecticut","2020 (1853,United Technologiesspinoff)"
"1524472","Xylem Inc.","XYL","33.944455168","Industrials","Industrial Machinery & Supplies & Components","White Plains, New York","2011"
"100517","United Airlines Holdings","UAL","33.791770624","Industrials","Passenger Airlines","Chicago, Illinois","1967"
"93751","State Street Corporation","STT","33.76541696","Financials","Asset Management & Custody Banks","Boston, Massachusetts","1792"
"1004980","PG&E Corporation","PCG","33.671989248","Utilities","Multi-Utilities","Oakland, California","1905"
"1324424","Expedia Group","EXPE","32.62380032","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Seattle, Washington","1996"
"1944048","Kenvue","KVUE","32.355520512","Consumer Staples","Personal Care Products","Skillman, New Jersey","2022 (Johnson & Johnsonspinoff)"
"920760","Lennar","LEN","32.039538688","Consumer Discretionary","Homebuilding","Miami, Florida","1954"
"1013871","NRG Energy","NRG","31.738126336","Utilities","Independent Power Producers & Energy Traders","Houston, Texas","1992"
"1699150","Ingersoll Rand","IR","31.470290944","Industrials","Industrial Machinery & Supplies & Components","Davidson, North Carolina","1859"
"1442145","Verisk Analytics","VRSK","31.414913024","Industrials","Research & Consulting Services","Jersey City, New Jersey","1971"
"720005","Raymond James Financial","RJF","31.032121344","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","1962"
"1140536","Willis Towers Watson","WTW","30.79492608","Financials","Insurance Brokers","London, United Kingdom","2016"
"827054","Microchip Technology","MCHP","30.64873984","Information Technology","Semiconductors","Chandler, Arizona","1989"
"1705696","Vici Properties","VICI","30.407684096","Real Estate","Hotel & Resort REITs","New York City, New York","2017"
"97210","Teradyne","TER","30.214428672","Information Technology","Semiconductor Materials & Equipment","North Reading, Massachusetts","1960"
"1335258","Live Nation Entertainment","LYV","29.848174592","Communication Services","Movies & Entertainment","Beverly Hills, California","2010"
"36270","M&T Bank","MTB","29.844310016","Financials","Regional Banks","Buffalo, New York","1856"
