"company","ticker","fair_value","price","mkt_cap","shares","CEO"
"Cardinal Health","CAH","3.38","62.12","20.45791344","329328935","Jason Hollar"
"CarMax","KMX","11.39","51.1","9.904670485","193829168","David W. McCreight (Interim President and Chief Executive Officer)"
"Carnival","CCL","1.3","46.35","26.05504712","562136939","Josh Weinstein"
"Caterpillar Inc.","CAT","104.86","60.69","35.43499419","583868746","Joseph E. Creed"
"Cboe Global Markets","CBOE","9.57","57.31","4.673670789","81550703","Craig S. Donohue"
"CBRE Group","CBRE","15.54","28.82","9.663130225","335292513","Bob Sulentic"
"CDW Corporation","CDW","13.23","37.01","6.125155","165500000","Christine A. Leahy"
"Cencora","COR","23.74","64.7","14.49288256","224001276","Robert P. Mauch"
"Centene Corporation","CNC","54.16","30.79","10.49627676","340898888","Sarah M. London"
"CenterPoint Energy","CNP","8.86","15.24","6.562571076","430614900","Jason P. Wells"
"CF Industries","CF","17.47","23.86","5.561349786","233082556","Chris Bohn"
"Charles River Laboratories","CRL","4.38","75.94","3.57783716","47114000","James C. Foster"
"Charles Schwab Corporation","SCHW","80.3","24.78","36.87264","1488000000","Rick Wurster"
"Charter Communications","CHTR","65.68","202.43","22.76691667","112468096","Christopher L. Winfrey"
"Chevron Corporation","CVX","183.03","62.98","118.6985563","1884702387","Mike Wirth (Michael K. Wirth)"
"Chipotle Mexican Grill","CMG","14.73","9.42","16.85709","1789500000","Scott Boatwright"
"Chubb Limited","CB","113.41","99.77","46.32156679","464283520","Evan G. Greenberg"
"Church & Dwight","CHD","9.66","40.6","10.53368786","259450440","Richard Dierker"
"Cigna","CI","97.42","125.43","32.08076826","255766310","David Cordani"
"Cincinnati Financial","CINF","13.74","50.72","8.338368","164400000","Stephen M. Spray"
"Cintas","CTAS","23.11","20.3","8.688659921","428012804","Todd M. Schneider"
"Cisco","CSCO","162.47","21.08","106.0771156","5032121234","Chuck Robbins"
"Citigroup","C","176.46","31.19","91.54043975","2934929136","Jane Fraser"
"Clorox","CLX","8.03","95.51","12.34912333","129296653","Linda Rendle"
"CME Group","CME","48.11","67.12","22.63413928","337219000","Terrence A. Duffy"
"CMS Energy","CMS","9.62","31.61","8.825512","279200000","Garrick J. Rochow"
"Coca-Cola Company (The)","KO","147.53","34.13","147.7657592","4329497778","James Quincey"
"Cognizant","CTSH","30.34","55.57","33.686534","606200000","Ravi Kumar S"
"Colgate-Palmolive","CL","19.94","56.22","50.20545459","893017691","Noel Wallace"
"Comcast","CMCSA","174.01","24.22","117.5733545","4854391186","Brian L. Roberts (Chairman and Co-CEO) and Michael J. Cavanagh (Co-CEO)"
"Conagra Brands","CAG","11.84","24.15","10.53942022","436414916","Sean Connolly"
"ConocoPhillips","COP","67.51","29.81","36.91632291","1238387216","Ryan Lance"
"Consolidated Edison","ED","20.28","53.91","11.84736942","219762000","Tim Cawley"
"Constellation Brands","STZ","6.52","130.63","25.0117436","191470134","Bill Newlands"
"Cooper Companies (The)","COO","3.35","38.43","7.438668824","193564112","Albert G. White III"
